"","strategy","algo","approach","n","n.cova","event.prob","ttm.prob","seed","mh_pval","clog_coef","clog_pval","clog_lower","clog_upper"
"50","matching","A1","mhl",20000,4,0.01,0.1,50,0.0134283477537622,0.730887503947489,0.0303815014912835,0.0692432760762767,1.3925317318187
"51","matching","A1","mhl",20000,4,0.01,0.1,51,0.199012359753469,0.287682072451776,0.399649785455476,-0.381773075969422,0.957137220872973
"52","matching","A1","mhl",20000,4,0.01,0.1,52,0.263544628432769,0.200670695462151,0.527781890352619,-0.422246749713738,0.82358814063804
"53","matching","A1","mhl",20000,4,0.01,0.1,53,0.0314895256072276,0.650587565271535,0.0677075307068194,-0.0473676746857769,1.34854280522885
"54","matching","A1","mhl",20000,4,0.01,0.1,54,0.021654071405396,0.600773860153303,0.0465189713509752,0.00926207466711337,1.19228564563949
"55","matching","A1","mhl",20000,4,0.01,0.1,55,0.0385499358717709,0.64662716412855,0.0823270855097586,-0.0828590520063401,1.37611338026344
"56","matching","A1","mhl",20000,4,0.01,0.1,56,0.0799268374188137,0.446287102624822,0.163327656439192,-0.181207542070124,1.07378174731977
"57","matching","A1","mhl",20000,4,0.01,0.1,57,0.0261018176706573,0.552068582219208,0.0552362391352078,-0.0123690903708055,1.11650625480922
"58","matching","A1","mhl",20000,4,0.01,0.1,58,0.00793066636988649,0.762140052046897,0.0185383388343803,0.127759611679812,1.39652049241398
"59","matching","A1","mhl",20000,4,0.01,0.1,59,0.300754067220295,0.182321556793955,0.602011296844158,-0.502887632899524,0.867530746487433
"60","matching","A1","mhl",20000,4,0.01,0.1,60,0.222882953957421,0.233614851181505,0.446799413143472,-0.368251269637749,0.835480972000758
"61","matching","A1","mhl",20000,4,0.01,0.1,61,0.00476439569316089,0.836248024200619,0.0117872914039078,0.185444321293546,1.48705172710769
"62","matching","A1","mhl",20000,4,0.01,0.1,62,0.5,0,1,-0.692951912174839,0.692951912174839
"63","matching","A1","mhl",20000,4,0.01,0.1,63,0.035273000228433,0.613104472516681,0.0750149911866696,-0.061845611938903,1.28805455697227
"64","matching","A1","mhl",20000,4,0.01,0.1,64,0.000128275191527916,1.50407739515528,0.000860681324160796,0.619476135494491,2.38867865481607
"65","matching","A1","mhl",20000,4,0.01,0.1,65,0.0912112197258679,0.451985123738722,0.186151128389121,-0.218090752815895,1.12206100029334
"66","matching","A1","mhl",20000,4,0.01,0.1,66,0.306044940044628,0.17185025692666,0.612527375226433,-0.493185997339083,0.836886511192403
"67","matching","A1","mhl",20000,4,0.01,0.1,67,0.28873433121365,0.207639364778244,0.578151716260274,-0.524199421194779,0.939478150751267
"68","matching","A1","mhl",20000,4,0.01,0.1,68,0.184585708166346,0.325422400434594,0.371281131359037,-0.387957730553461,1.03880253142265
"69","matching","A1","mhl",20000,4,0.01,0.1,69,0.158655253931457,0.336472236621157,0.319591205169545,-0.326116523638313,0.999060996880627
"70","matching","A1","mhl",20000,4,0.01,0.1,70,0.00101102459845182,1.17865499633882,0.00355379973417572,0.386234168264258,1.97107582441337
"71","matching","A1","mhl",20000,4,0.01,0.1,71,0.28873433121365,0.207639364778244,0.578151716260274,-0.524199421194779,0.939478150751268
"72","matching","A1","mhl",20000,4,0.01,0.1,72,0.084955920865746,0.42488319396352,0.173129249858197,-0.186440437269226,1.03620682519627
"73","matching","A1","mhl",20000,4,0.01,0.1,73,0.43470853037062,0.0540672212679334,0.869432822005659,-0.590600462210813,0.698734904746679
"74","matching","A1","mhl",20000,4,0.01,0.1,74,0.00666416439040873,0.938269638592925,0.0170156052624263,0.167653841596307,1.70888543558954
"75","matching","A1","mhl",20000,4,0.01,0.1,75,0.5,0,1,-0.619795032304561,0.619795032304561
"76","matching","A1","mhl",20000,4,0.01,0.1,76,0.807955875263074,-0.305381649551169,0.385933600839068,-0.995723564082145,0.384960264979807
"77","matching","A1","mhl",20000,4,0.01,0.1,77,0.00657455866544854,0.757685701697516,0.0154622195343269,0.14438084857826,1.37099055481677
"78","matching","A1","mhl",20000,4,0.01,0.1,78,0.725746882249926,-0.241162056816887,0.549474018091027,-1.03085405051942,0.548529936885643
"79","matching","A1","mhl",20000,4,0.01,0.1,79,0.00468738422971748,0.78845736036427,0.0113420608170686,0.178125403340653,1.39878931738789
"80","matching","A1","mhl",20000,4,0.01,0.1,80,0.43470853037062,0.0540672212679335,0.869432822005659,-0.590600462210812,0.698734904746679
"81","matching","A1","mhl",20000,4,0.01,0.1,81,0.011817550991417,0.832909122935104,0.0278853621159912,0.0905036873439821,1.57531455852623
