"","strategy","algo","approach","n","n.cova","event.prob","ttm.prob","r.penalty","seed","mh_pval","clog_coef","clog_pval","clog_lower","clog_upper"
"23","counter-matching","A2","ps",20000,2,0.01,0.1,1,2,0.000385933224414381,1.20397280432092,0.00153564390162184,0.459071881237939,1.9488737274039
"24","counter-matching","A2","ps",20000,2,0.01,0.1,1,3,0.084955920865746,0.42488319396352,0.173129249858197,-0.186440437269225,1.03620682519627
"25","counter-matching","A2","ps",20000,2,0.01,0.1,1,4,0.237525262026976,0.204794412646013,0.475821622553569,-0.358133661973921,0.767722487265948
"26","counter-matching","A2","ps",20000,2,0.01,0.1,1,5,0.0384216220168282,0.534082485880358,0.0803863712575319,-0.0646096413301416,1.13277461309086
"27","counter-matching","A2","ps",20000,2,0.01,0.1,1,6,0.00397771928550472,0.826678573184467,0.00988392997730311,0.198637568224953,1.45471957814398
"28","counter-matching","A2","ps",20000,2,0.01,0.1,1,7,0.113899996994114,0.36772478012511,0.230420276241791,-0.233243434598415,0.968692994848635
"29","matching","A1","ps",20000,2,0.01,0.5,NA,1,0.0579257487629651,0.332705753825689,0.117536436021751,-0.0839132288247035,0.749324736476082
"30","matching","A1","ps",20000,2,0.01,0.5,NA,2,0.00068713793791586,0.663294216262064,0.00167750542481914,0.249545494905295,1.07704293761883
"31","matching","A1","ps",20000,2,0.01,0.5,NA,3,0.126279658592584,0.219053566062685,0.25350775470321,-0.156940920007461,0.595048052132831
"32","matching","A1","ps",20000,2,0.01,0.5,NA,4,2.66561556941936e-05,0.866810674610785,8.97208536344437e-05,0.433062575471136,1.30055877375043
"33","matching","A1","ps",20000,2,0.01,0.5,NA,5,0.0579257487629651,0.33270575382569,0.117536436021752,-0.0839132288247042,0.749324736476083
"34","matching","A1","ps",20000,2,0.01,0.5,NA,6,0.00229319604012679,0.54910781026226,0.00511928126345897,0.164661232195112,0.933554388329408
"35","matching","A1","ps",20000,2,0.01,0.5,NA,7,0.00599234946139338,0.516216472370493,0.0129583557284975,0.109052838672883,0.923380106068103
"36","counter-matching","A1","ps",20000,2,0.01,0.5,1,1,0.0320387532255297,0.287682072451775,0.0649982095494517,-0.0178809992384399,0.593245144141991
"37","counter-matching","A1","ps",20000,2,0.01,0.5,1,2,0.00107798815181714,0.479573080251543,0.00237635334273879,0.170243662682128,0.788902497820957
"38","counter-matching","A1","ps",20000,2,0.01,0.5,1,3,0.0205384514532441,0.323787077093866,0.0419660284234104,0.0117636409874268,0.635810513200304
"39","counter-matching","A1","ps",20000,2,0.01,0.5,1,4,2.91778424343914e-05,0.656105907897728,7.87525397212809e-05,0.330399163491774,0.981812652303682
"40","counter-matching","A1","ps",20000,2,0.01,0.5,1,5,0.0237126927543706,0.304660408986186,0.0482868710542867,0.0022941775356517,0.60702664043672
"41","counter-matching","A1","ps",20000,2,0.01,0.5,1,6,0.0013498980316301,0.470003629238039,0.00295323677539436,0.160106113086033,0.779901145390044
"42","counter-matching","A1","ps",20000,2,0.01,0.5,1,7,0.00198556427245711,0.456237433476612,0.00429535973119234,0.143096826364275,0.76937804058895
"43","matching","A2","ps",20000,2,0.01,0.5,NA,1,0.0195637976778439,0.432133355188087,0.0406699746602549,0.0183493224268253,0.845917387949348
"44","matching","A2","ps",20000,2,0.01,0.5,NA,2,0.00665414649544305,0.522189382380376,0.0143847890619166,0.104020232584351,0.940358532176401
"45","matching","A2","ps",20000,2,0.01,0.5,NA,3,0.0716174537623349,0.287682072451775,0.144616207695388,-0.0988280376995836,0.674192182603135
"46","matching","A2","ps",20000,2,0.01,0.5,NA,4,1.81910099439353e-06,0.985283603361086,8.63126420073276e-06,0.551216317304512,1.41935088941766
"47","matching","A2","ps",20000,2,0.01,0.5,NA,5,0.129538330351177,0.232622295268753,0.260150458857022,-0.17227727297263,0.637521863510136
"48","matching","A2","ps",20000,2,0.01,0.5,NA,6,0.00342279445451532,0.515466003292757,0.00748284323536643,0.137722907558577,0.893209099026937
"49","matching","A2","ps",20000,2,0.01,0.5,NA,7,0.000782701129001251,0.693147178402484,0.00193619702962284,0.254885908271782,1.13140844853319
"50","counter-matching","A2","ps",20000,2,0.01,0.5,1,1,0.0320387532255297,0.287682072451775,0.0649982095494517,-0.0178809992384399,0.593245144141991
"51","counter-matching","A2","ps",20000,2,0.01,0.5,1,2,0.000858250715799258,0.489051824202652,0.00190717137772468,0.180280802204764,0.797822846200541
"52","counter-matching","A2","ps",20000,2,0.01,0.5,1,3,0.0251061411014392,0.309188277672729,0.0511316701448023,-0.00152042745285602,0.619896982798314
"53","counter-matching","A2","ps",20000,2,0.01,0.5,1,4,0.000106063371641874,0.601339631027417,0.000263373987804937,0.278336351733277,0.924342910321557
"54","counter-matching","A2","ps",20000,2,0.01,0.5,1,5,0.0237126927543706,0.304660408986186,0.0482868710542867,0.0022941775356517,0.60702664043672
