"","algo","approach","n","n.cova","event.prob","ttm.prob","mh_pval","clog_coef","clog_pval"
"clog_mhl1.A1.4.26.3.0.1.42","A1","mhl",20000,4,1,0.1,0.693955059955372,-0.182321556793955,0.602011296844158
"clog_mhl1.A1.4.26.3.0.1.43","A1","mhl",20000,4,1,0.1,0.741793865801981,-0.154150679827258,0.631291986483812
"clog_mhl1.A1.4.26.3.0.1.44","A1","mhl",20000,4,1,0.1,0.704993056418327,-0.287682072451775,0.514142121200266
"clog_mhl1.A1.4.26.3.0.1.45","A1","mhl",20000,4,1,0.1,0.224845898984445,0.268263986594678,0.466545341652668
"clog_mhl1.A1.4.26.3.0.1.46","A1","mhl",20000,4,1,0.1,0.993335835609591,-1.01160091167844,0.0142769315996628
"clog_mhl1.A1.4.26.3.0.1.47","A1","mhl",20000,4,1,0.1,0.205539889361658,0.271933715483639,0.412519630553162
"clog_mhl1.A1.4.26.3.0.1.48","A1","mhl",20000,4,1,0.1,0.5,0,1
"clog_mhl1.A1.4.26.3.0.1.49","A1","mhl",20000,4,1,0.1,0.857124684813488,-0.362905493689198,0.264949132083816
"clog_mhl1.A1.4.26.3.0.1.50","A1","mhl",20000,4,1,0.1,0.239750061093477,0.287682072451776,0.399649785455476
"clog_mhl1.A1.4.26.3.0.1.51","A1","mhl",20000,4,1,0.1,0.699245932779705,-0.22314355131421,0.564510978132912
"clog_mhl1.A1.4.26.3.0.1.52","A1","mhl",20000,4,1,0.1,0.630558659818236,-0.200670695462151,0.527781890352619
"clog_mhl1.A1.4.26.3.0.1.53","A1","mhl",20000,4,1,0.1,0.232604409226071,0.268263986594678,0.466545341652668
"clog_mhl1.A1.4.26.3.0.1.54","A1","mhl",20000,4,1,0.1,0.165195024424397,0.274436845701758,0.367215352870316
"clog_mhl1.A1.4.26.3.0.1.55","A1","mhl",20000,4,1,0.1,0.184585708166346,0.348306694268123,0.355590512469625
"clog_mhl1.A1.4.26.3.0.1.56","A1","mhl",20000,4,1,0.1,0.319705926401687,0.154150679827258,0.631291986483812
"clog_mhl1.A1.4.26.3.0.1.57","A1","mhl",20000,4,1,0.1,0.188172246749328,0.22314355131421,0.456990317552397
"clog_mhl1.A1.4.26.3.0.1.58","A1","mhl",20000,4,1,0.1,0.0314895256072276,0.613104472516681,0.0750149911866692
"clog_mhl1.A1.4.26.3.0.1.59","A1","mhl",20000,4,1,0.1,0.855577816826758,-0.405465108107289,0.276605237854056
