"","strategy","algo","approach","n","n.cova","event.prob","ttm.prob","r.penalty","seed","mh_pval","clog_coef","clog_pval","clog_lower","clog_upper"
"1","matching","A1","drs",50000,4,0.01,0.1,NA,1,0.0458451407747146,0.35937400090775,0.0934434907066465,-0.0605111815856827,0.779259183401183
"2","matching","A1","drs",50000,4,0.01,0.1,NA,2,0.0743709300429215,0.300104592450328,0.15026808003323,-0.108765309629177,0.708974494529832
"3","matching","A1","drs",50000,4,0.01,0.1,NA,3,0.0341826564446772,0.395895657091398,0.070180649543311,-0.0326252576791606,0.824416571861956
"4","matching","A1","drs",50000,4,0.01,0.1,NA,4,0.127008453390157,0.237671651877119,0.255134434658398,-0.171679451294934,0.647022755049173
"5","matching","A1","drs",50000,4,0.01,0.1,NA,5,0.00119180811741915,0.712195372353263,0.00293491105657366,0.242909988978898,1.18148075572763
"6","matching","A1","drs",50000,4,0.01,0.1,NA,6,0.000850936046336459,0.635988766092701,0.00203147455252818,0.232009520446317,1.03996801173909
"7","matching","A1","drs",50000,4,0.01,0.1,NA,7,0.163399783834483,0.192903666124491,0.327549375193019,-0.193266219801236,0.579073552050219
"8","matching","A1","drs",50000,4,0.01,0.1,NA,8,0.0047657319037,0.551176919210605,0.0104716470895437,0.129165598870734,0.973188239550475
"9","matching","A1","drs",50000,4,0.01,0.1,NA,9,0.000782701129001251,0.693147178402484,0.00193619702962284,0.254885908271782,1.13140844853319
"10","matching","A1","drs",50000,4,0.01,0.1,NA,10,0.00131850500866615,0.645137960603071,0.00312024535386287,0.217329214937213,1.07294670626893
"11","matching","A1","drs",50000,4,0.01,0.1,NA,11,0.134728202579889,0.245122458032985,0.27065500789809,-0.191016469175585,0.681261385241554
"12","matching","A1","drs",50000,4,0.01,0.1,NA,12,0.000938207277753955,0.693147178402484,0.00230564403121187,0.247393719913288,1.13890063689168
"13","matching","A1","drs",50000,4,0.01,0.1,NA,13,0.0518189820069812,0.382992252255728,0.105756896776029,-0.0810707926476106,0.847055297159067
"14","matching","A1","drs",50000,4,0.01,0.1,NA,14,0.000993787239460753,0.711496316094955,0.00246330994010694,0.250930405261162,1.17206222692875
"15","matching","A1","drs",50000,4,0.01,0.1,NA,15,0.0767992608528667,0.315852949418455,0.155310620925884,-0.119791812289223,0.751497711126134
"16","matching","A1","drs",50000,4,0.01,0.1,NA,16,0.0027889970016991,0.609064063013365,0.00634826795103974,0.171671743861379,1.04645638216535
"17","matching","A1","drs",50000,4,0.01,0.1,NA,17,0.251167477180251,0.150282203049338,0.502736967075146,-0.289216901630252,0.589781307728927
"18","matching","A1","drs",50000,4,0.01,0.1,NA,18,0.272226988637351,0.122602321373119,0.544705953556383,-0.274114432049593,0.519319074795832
"19","matching","A1","drs",50000,4,0.01,0.1,NA,19,0.027896473477769,0.437213806420085,0.0577619769886753,-0.0143926799944506,0.88882029283462
"20","matching","A1","drs",50000,4,0.01,0.1,NA,20,0.165702973472457,0.189241999638528,0.332127231880107,-0.193200729054869,0.571684728331926
"21","matching","A1","drs",50000,4,0.01,0.1,NA,21,0.362747871170577,0.0822380981929069,0.725569956349632,-0.376942680915255,0.541418877301069
"22","matching","A1","drs",50000,4,0.01,0.1,NA,22,0.00332780274147471,0.559615787836945,0.00739496877783502,0.150124974392203,0.969106601281687
"23","matching","A1","drs",50000,4,0.01,0.1,NA,23,0.151171660888187,0.213574100298059,0.303261897882843,-0.193043057904707,0.620191258500825
"24","matching","A1","drs",50000,4,0.01,0.1,NA,24,0.0110517224967103,0.463572738909157,0.023315745505724,0.0630007012465988,0.864144776571716
"25","matching","A1","drs",50000,4,0.01,0.1,NA,25,0.0422345161266259,0.376477571234619,0.0863127453526801,-0.0537301556601108,0.806685298129349
"26","matching","A1","drs",50000,4,0.01,0.1,NA,26,0.0302844301013286,0.396415272587618,0.0622658077548851,-0.0203195558115601,0.813150100986796
"27","matching","A1","drs",50000,4,0.01,0.1,NA,27,0.010460667668897,0.451985123738722,0.0220294503201858,0.0651166360324388,0.838853611445005
"28","matching","A1","drs",50000,4,0.01,0.1,NA,28,0.327360423009289,0.100083458382946,0.65485556600675,-0.338726667810787,0.538893584576679
"29","matching","A1","drs",50000,4,0.01,0.1,NA,29,0.054799291699558,0.322773392263021,0.111143246625951,-0.0743353508883717,0.719882135414413
"30","matching","A1","drs",50000,4,0.01,0.1,NA,30,0.164485887205312,0.212561441983673,0.329881937337921,-0.215018010276327,0.640140894243673
"31","matching","A1","drs",50000,4,0.01,0.1,NA,31,0.0032892068064132,0.635988766092701,0.00753555085582904,0.169513713650777,1.10246381853463
"32","matching","A1","drs",50000,4,0.01,0.1,NA,32,0.0416322583317752,0.336472236621157,0.0847245934734058,-0.0460735624766687,0.719018035718983
"33","matching","A1","drs",50000,4,0.01,0.1,NA,33,0.00556858153059392,0.527354925675723,0.0121008852922972,0.115430267239997,0.939279584111448
"34","matching","A1","drs",50000,4,0.01,0.1,NA,34,0.156211105621347,0.204794412646013,0.313267546044893,-0.193255846238029,0.602844671530055
"35","matching","A1","drs",50000,4,0.01,0.1,NA,35,0.102951605366034,0.268263986594678,0.207263421365971,-0.148655269490667,0.685183242680022
"36","matching","A1","drs",50000,4,0.01,0.1,NA,36,0.038965605306281,0.369747025505861,0.0796335758627055,-0.0436967160455245,0.783190767057247
"37","matching","A1","drs",50000,4,0.01,0.1,NA,37,0.015598354866467,0.449525097898194,0.0326370374058415,0.0371475281849292,0.861902667611458
"38","matching","A1","drs",50000,4,0.01,0.1,NA,38,0.268006684768911,0.127833371509885,0.536290887749243,-0.277302480646383,0.532969223666152
"39","matching","A1","drs",50000,4,0.01,0.1,NA,39,0.00738448660961277,0.528844129225449,0.0159606200573928,0.0987216792298262,0.958966579221072
