"","strategy","algo","approach","n","n.cova","event.prob","ttm.prob","r.penalty","seed","mh_pval","clog_coef","clog_pval","clog_lower","clog_upper"
"25","counter-matching","A2","drs",50000,4,0.01,0.1,1,4,0.872991546609843,-0.237671651877119,0.255134434658399,-0.647022755049173,0.171679451294934
"26","counter-matching","A2","drs",50000,4,0.01,0.1,1,5,0.543701831938423,-0.0240975515790524,0.9125984423837,-0.454396776343085,0.40620167318498
"27","counter-matching","A2","drs",50000,4,0.01,0.1,1,6,0.00482693740784634,0.573345980607289,0.0106837492300666,0.133161096385632,1.01353086482895
"28","counter-matching","A2","drs",50000,4,0.01,0.1,1,7,0.970659160135914,-0.380772495517446,0.0602175244148827,-0.777910294343157,0.0163653033082642
"29","matching","A1","drs",50000,10,0.01,0.1,NA,1,0.983052573237655,-0.510825623739934,0.0358671441155808,-0.987944062062955,-0.0337071854169135
"30","matching","A1","drs",50000,10,0.01,0.1,NA,2,0.449870649343586,0.0317486983145238,0.899745487114715,-0.462178031697828,0.525675428326876
"31","matching","A1","drs",50000,10,0.01,0.1,NA,3,0.746099675862363,-0.175890666463664,0.508347334133474,-0.697106977273819,0.34532564434649
"32","matching","A1","drs",50000,10,0.01,0.1,NA,4,0.451382412512311,0.0298529631496445,0.902768417668342,-0.449095808654741,0.50880173495403
"33","matching","A1","drs",50000,10,0.01,0.1,NA,5,0.643007102165309,-0.0896121586093412,0.714077267364459,-0.568988372507581,0.389764055288899
"34","matching","A1","drs",50000,10,0.01,0.1,NA,6,0.165987733541368,0.23638877806423,0.333100620184117,-0.242296555901293,0.715074112029754
"35","matching","A1","drs",50000,10,0.01,0.1,NA,7,0.894350226333145,-0.315081046639874,0.213188987002967,-0.811165176590039,0.18100308331029
"36","counter-matching","A1","drs",50000,10,0.01,0.1,1,1,0.713127266102067,-0.12675170473155,0.574001870469327,-0.568664045149326,0.315160635686225
"37","counter-matching","A1","drs",50000,10,0.01,0.1,1,2,0.5,0,1,-0.461967941449893,0.461967941449893
"38","counter-matching","A1","drs",50000,10,0.01,0.1,1,3,0.857263084650707,-0.254892249628789,0.286777509622335,-0.723885316732512,0.214100817474934
"39","counter-matching","A1","drs",50000,10,0.01,0.1,1,4,0.325306481966377,0.102654153852276,0.650756129844369,-0.341775063173239,0.547083370877791
"40","counter-matching","A1","drs",50000,10,0.01,0.1,1,5,0.546586276604793,-0.0273989741880942,0.90683034781875,-0.486234893481513,0.431436945105325
"41","counter-matching","A1","drs",50000,10,0.01,0.1,1,6,0.229044117357905,0.157628944203583,0.458553456259633,-0.259173778527087,0.574431666934253
"42","counter-matching","A1","drs",50000,10,0.01,0.1,1,7,0.907443991692656,-0.294799540220637,0.186704231604208,-0.732394253058091,0.142795172616817
"43","matching","A2","drs",50000,10,0.01,0.1,NA,1,0.998053791438611,-0.693147178402483,0.00465827138681724,-1.17323834586538,-0.213056010939583
"44","matching","A2","drs",50000,10,0.01,0.1,NA,2,0.917106658009471,-0.35282137462263,0.167984945514853,-0.854390539893633,0.148747790648372
"45","matching","A2","drs",50000,10,0.01,0.1,NA,3,0.193238115385616,0.251314428280905,0.387724941737374,-0.318951179245575,0.821580035807385
"46","matching","A2","drs",50000,10,0.01,0.1,NA,4,0.681324055883031,-0.111225634746149,0.637525327863519,-0.57390814419996,0.351456874707662
"47","matching","A2","drs",50000,10,0.01,0.1,NA,5,0.402770294333747,0.0606246218112159,0.805569768325624,-0.422106847132178,0.543356090754609
"48","matching","A2","drs",50000,10,0.01,0.1,NA,6,0.455210000254901,0.0253178079842785,0.910422382888184,-0.415743882301463,0.46637949827002
"49","matching","A2","drs",50000,10,0.01,0.1,NA,7,0.348058759771728,0.101782694114161,0.696242123780838,-0.409209462727152,0.612774850955475
"50","counter-matching","A2","drs",50000,10,0.01,0.1,1,1,0.5,0,1,-0.455682370451418,0.455682370451418
"51","counter-matching","A2","drs",50000,10,0.01,0.1,1,2,0.45276516771431,0.0281708769666716,0.905533444509554,-0.437085134030792,0.493426887964135
"52","counter-matching","A2","drs",50000,10,0.01,0.1,1,3,0.830510078010439,-0.2295744416445,0.340039952003244,-0.701185479041173,0.242036595752173
"53","counter-matching","A2","drs",50000,10,0.01,0.1,1,4,0.455764118954689,0.0246926125903622,0.911530476279585,-0.410888135486569,0.460273360667293
"54","counter-matching","A2","drs",50000,10,0.01,0.1,1,5,0.270650364023612,0.149531733970963,0.541677341070842,-0.330702808661832,0.629766276603758
"55","counter-matching","A2","drs",50000,10,0.01,0.1,1,6,0.377867808786864,0.064538521129486,0.7557766553266,-0.342150725923754,0.471227768182726
"56","counter-matching","A2","drs",50000,10,0.01,0.1,1,7,0.936684771026191,-0.336472236621158,0.128424725923321,-0.770238400694868,0.0972939274525527
"57","matching","A1","drs",50000,20,0.01,0.1,NA,1,0.388648705394761,0.0800427076370702,0.777355282964464,-0.474762844223834,0.634848259497975
"58","matching","A1","drs",50000,20,0.01,0.1,NA,2,0.124592352630749,0.297251523467923,0.250927119588059,-0.21019737296017,0.804700419896016
"59","matching","A1","drs",50000,20,0.01,0.1,NA,3,0.611351294605239,-0.0800427076370706,0.777355282964463,-0.634848259497975,0.474762844223834
"60","matching","A1","drs",50000,20,0.01,0.1,NA,4,0.142524703701306,0.287682072451776,0.286709712206469,-0.24156869263249,0.816932837536041
"61","matching","A1","drs",50000,20,0.01,0.1,NA,5,0.886100003005886,-0.367724780125111,0.230420276241791,-0.968692994848636,0.233243434598414
"62","matching","A1","drs",50000,20,0.01,0.1,NA,6,0.901647198770527,-0.336472236621157,0.198818641295872,-0.849711283394987,0.176766810152672
"63","matching","A1","drs",50000,20,0.01,0.1,NA,7,0.828609144426044,-0.302280871872922,0.344617505634131,-0.929168513040791,0.324606769294947
"64","counter-matching","A1","drs",50000,20,0.01,0.1,1,1,0.17261553588592,0.2559333741372,0.346546715976483,-0.276963248735936,0.788829997010335
"65","counter-matching","A1","drs",50000,20,0.01,0.1,1,2,0.370967200424177,0.0723206615616938,0.741988629536548,-0.358228664487346,0.502869987610733
"66","counter-matching","A1","drs",50000,20,0.01,0.1,1,3,0.444318930447504,0.0392207131530332,0.888644951735991,-0.509784540927751,0.588225967233817
