"","strategy","algo","approach","n","n.cova","event.prob","ttm.prob","r.penalty","seed","mh_pval","clog_coef","clog_pval","clog_lower","clog_upper"
"50","counter-matching","A2","drs",20000,2,0.01,0.5,1,1,0.0799268374188137,0.220400065368458,0.160699452951805,-0.0875553807038491,0.528355511440765
"51","counter-matching","A2","drs",20000,2,0.01,0.5,1,2,7.4663863158797e-07,0.784954729813069,2.72171249277393e-06,0.456974219280289,1.11293524034585
"52","counter-matching","A2","drs",20000,2,0.01,0.5,1,3,0.00151284854612688,0.458746474715709,0.00328982461519055,0.152845536775628,0.764647412655791
"53","counter-matching","A2","drs",20000,2,0.01,0.5,1,4,0.00509893838812014,0.405465108107288,0.0107250364497392,0.0940063855193705,0.716923830695205
"54","counter-matching","A2","drs",20000,2,0.01,0.5,1,5,0.0427980174732081,0.258411690151666,0.0864687130553076,-0.0370264891847689,0.553849869488102
"55","counter-matching","A2","drs",20000,2,0.01,0.5,1,6,0.0286696892625754,0.291054756930413,0.0582220388218432,-0.0101332574982841,0.592242771359111
"56","counter-matching","A2","drs",20000,2,0.01,0.5,1,7,0.00921106272704952,0.374693449441137,0.0191144810648681,0.0612941552897934,0.688092743592481
"57","matching","A1","drs",10000,2,0.05,0.1,NA,1,0.0720635174080076,0.546543706298245,0.149141155361418,-0.196023174419022,1.28911058701551
"58","matching","A1","drs",10000,2,0.05,0.1,NA,2,0.00683185643409057,0.86020126522311,0.0167767023059673,0.155238893649596,1.56516363679662
"59","matching","A1","drs",10000,2,0.05,0.1,NA,3,0.217439829247892,0.245122458032985,0.436028437172381,-0.371671127904226,0.861916043970195
"60","matching","A1","drs",10000,2,0.05,0.1,NA,4,0.330839957433,0.127833371509885,0.66189585311886,-0.44511524521309,0.70078198823286
"61","matching","A1","drs",10000,2,0.05,0.1,NA,5,0.113899996994114,0.36772478012511,0.230420276241791,-0.233243434598415,0.968692994848635
"62","matching","A1","drs",10000,2,0.05,0.1,NA,6,0.144422183173242,0.379489621704574,0.291735384216114,-0.32597396740225,1.0849532108114
"63","matching","A1","drs",10000,2,0.05,0.1,NA,7,0.0013498980316301,1.09861228866769,0.00431347057062724,0.344221799283658,1.85300277805173
"64","counter-matching","A1","drs",10000,2,0.05,0.1,1,1,0.0205436122639107,0.798507696217771,0.0466599765192396,0.0118046398555832,1.58521075257996
"65","counter-matching","A1","drs",10000,2,0.05,0.1,1,2,0.00188091156639714,0.949080554697139,0.00524615594529625,0.282717594393087,1.61544351500119
"66","counter-matching","A1","drs",10000,2,0.05,0.1,1,3,0.124106539494962,0.336472236621157,0.250444053977043,-0.237346462025581,0.910290935267896
"67","counter-matching","A1","drs",10000,2,0.05,0.1,1,4,0.084955920865746,0.42488319396352,0.173129249858197,-0.186440437269225,1.03620682519627
"68","counter-matching","A1","drs",10000,2,0.05,0.1,1,5,0.0143357163533645,0.66139848114339,0.0316663057008565,0.0580667294185477,1.26473023286823
"69","counter-matching","A1","drs",10000,2,0.05,0.1,1,6,0.258206134198019,0.211309093667207,0.517191932355125,-0.428139713065926,0.850757900400339
"70","counter-matching","A1","drs",10000,2,0.05,0.1,1,7,0.0067773330324078,0.802346472524937,0.0162232779698628,0.148159244258899,1.45653370079098
"71","matching","A2","drs",10000,2,0.05,0.1,NA,1,0.000103750797030955,2.25129179852433,0.00245848443303362,0.794270366492431,3.70831323055623
"72","matching","A2","drs",10000,2,0.05,0.1,NA,2,0.228028270125128,0.22314355131421,0.456990317552397,-0.364845644047806,0.811132746676226
"73","matching","A2","drs",10000,2,0.05,0.1,NA,3,0.108521953878471,0.385662480811566,0.2198941143783,-0.230475911719624,1.00180087334276
"74","matching","A2","drs",10000,2,0.05,0.1,NA,4,0.443201503183532,0.0408219945199274,0.886410840066297,-0.519284367721524,0.600928356761378
"75","matching","A2","drs",10000,2,0.05,0.1,NA,5,0.0194999765062227,0.628608658892203,0.0422966890070594,0.0218634046129035,1.2353539131715
"76","matching","A2","drs",10000,2,0.05,0.1,NA,6,0.00335719489277475,1.28093384543591,0.011281112281143,0.290122994136954,2.27174469673487
"77","matching","A2","drs",10000,2,0.05,0.1,NA,7,0.5,0,1,-0.565792867038086,0.565792867038086
"78","counter-matching","A2","drs",10000,2,0.05,0.1,1,1,0.0013498980316301,1.3862943609146,0.00556123572871714,0.406312368704924,2.36627635312427
"79","counter-matching","A2","drs",10000,2,0.05,0.1,1,2,0.00563505242464157,0.794929874869888,0.0135606768258752,0.163813449605999,1.42604630013378
"80","counter-matching","A2","drs",10000,2,0.05,0.1,1,3,0.035220214636044,0.559615787836945,0.0741517565211456,-0.0546204323301683,1.17385200800406
"81","counter-matching","A2","drs",10000,2,0.05,0.1,1,4,0.14835876316103,0.313657558855022,0.298696334419488,-0.277891643980186,0.90520676169023
"82","counter-matching","A2","drs",10000,2,0.05,0.1,1,5,0.00332780274147471,0.869037847023609,0.00853709870867648,0.221415380740135,1.51666031330708
"83","counter-matching","A2","drs",10000,2,0.05,0.1,1,6,0.0585925435990691,0.559615787836945,0.121998181816038,-0.149643106282058,1.26887468195595
"84","counter-matching","A2","drs",10000,2,0.05,0.1,1,7,0.0263161512828703,0.594707107508721,0.0561771114735018,-0.0156659534409619,1.2050801684584
"85","matching","A1","drs",10000,2,0.05,0.5,NA,1,0.333113822704809,0.0930904229611455,0.666340847978558,-0.330064240428038,0.516245086350329
"86","matching","A1","drs",10000,2,0.05,0.5,NA,2,0.00280159679996717,0.584513339371903,0.00631240402502798,0.165038885182132,1.00398779356167
"87","matching","A1","drs",10000,2,0.05,0.5,NA,3,0.073514657657675,0.282232467684212,0.14837278310012,-0.100500741128915,0.664965676497339
"88","matching","A1","drs",10000,2,0.05,0.5,NA,4,0.00163185845083513,0.593774706514114,0.00374394171239662,0.192329295980734,0.995220117047493
"89","matching","A1","drs",10000,2,0.05,0.5,NA,5,0.000573814005670248,0.6641596425168,0.00141005869316702,0.256424424852162,1.07189486018144
"90","matching","A1","drs",10000,2,0.05,0.5,NA,6,0.018327857775708,0.421994410057796,0.0380650436014076,0.0232323189774396,0.820756501138153
"91","matching","A1","drs",10000,2,0.05,0.5,NA,7,0.00114009797353709,0.599118230646831,0.00264777129092828,0.208472613851764,0.989763847441897
"92","counter-matching","A1","drs",10000,2,0.05,0.5,1,1,0.295129225657386,0.0828876597592091,0.590364825258919,-0.218904253126987,0.384679572645406
"93","counter-matching","A1","drs",10000,2,0.05,0.5,1,2,4.27616014749832e-05,0.638087402719139,0.000112227999043199,0.31430096620056,0.961873839237719
"94","counter-matching","A1","drs",10000,2,0.05,0.5,1,3,0.00705819437493116,0.381014012243651,0.0147073976178957,0.0748971032180556,0.687130921269246
"95","counter-matching","A1","drs",10000,2,0.05,0.5,1,4,8.73451180138929e-06,0.684336550877791,2.52754936270336e-05,0.365919803201502,1.00275329855408
"96","counter-matching","A1","drs",10000,2,0.05,0.5,1,5,2.71871075389063e-05,0.648296613567994,7.30394059810272e-05,0.327926896138546,0.968666330997442
"97","counter-matching","A1","drs",10000,2,0.05,0.5,1,6,0.00990036223231494,0.353931457992864,0.0204501332675516,0.0546659778313747,0.653196938154353
"98","counter-matching","A1","drs",10000,2,0.05,0.5,1,7,8.18757179977814e-05,0.597003319755418,0.00020414424639529,0.281936572628319,0.912070066882516
"99","matching","A2","drs",10000,2,0.05,0.5,NA,1,0.734192711559194,-0.130620182417065,0.531906239222217,-0.540172829135072,0.278932464300943
"100","matching","A2","drs",10000,2,0.05,0.5,NA,2,0.00766756851900374,0.499955951510061,0.0164264678152981,0.0915469088398332,0.908364994180289
"101","matching","A2","drs",10000,2,0.05,0.5,NA,3,0.0139034475134986,0.447312218039944,0.0291268767238209,0.04547434166975,0.849150094410138
"102","matching","A2","drs",10000,2,0.05,0.5,NA,4,0.00233886749052359,0.587786664701256,0.00530154000777186,0.174589976510071,1.00098335289244
"103","matching","A2","drs",10000,2,0.05,0.5,NA,5,0.00398174460327494,0.555525802595382,0.00879822502538615,0.139916970799325,0.971134634391439
"104","matching","A2","drs",10000,2,0.05,0.5,NA,6,0.00734871088501177,0.485507815769315,0.015694142414369,0.0916349466997219,0.879380684838908
"105","matching","A2","drs",10000,2,0.05,0.5,NA,7,3.77315323696337e-06,0.958254930973178,1.62643458094154e-05,0.522574220529068,1.39393564141729
"106","counter-matching","A2","drs",10000,2,0.05,0.5,1,1,0.59125295681831,-0.0355066884567866,0.817503504124576,-0.337087129161965,0.266073752248391
"107","counter-matching","A2","drs",10000,2,0.05,0.5,1,2,3.86133977526848e-05,0.64662716412855,0.000102409323969561,0.320391010543206,0.972863317713893
"108","counter-matching","A2","drs",10000,2,0.05,0.5,1,3,0.0024684092781625,0.446287102624822,0.00530454431097143,0.132539780277349,0.760034424972295
"109","counter-matching","A2","drs",10000,2,0.05,0.5,1,4,7.4663863158797e-07,0.784954729813068,2.72171249277396e-06,0.456974219280288,1.11293524034585
"110","counter-matching","A2","drs",10000,2,0.05,0.5,1,5,4.80829413443962e-05,0.615185638701958,0.000123415807533338,0.301128238231624,0.929243039172293
"111","counter-matching","A2","drs",10000,2,0.05,0.5,1,6,0.00656116650753391,0.377294231141166,0.0136715050482013,0.0773960536980433,0.677192408584288
"112","counter-matching","A2","drs",10000,2,0.05,0.5,1,7,0.000385933224414381,0.552068582219209,0.000898999963360928,0.226190340008599,0.877946824429819
"113","matching","A1","drs",10000,2,0.1,0.1,NA,1,0.0652850090578682,0.587786664701256,0.13614242851104,-0.185233555579281,1.36080688498179
"114","matching","A1","drs",10000,2,0.1,0.1,NA,2,0.00472208284391629,0.897941593205957,0.0120611079730001,0.196871138991609,1.5990120474203
"115","matching","A1","drs",10000,2,0.1,0.1,NA,3,0.00683185643409057,0.860201265223111,0.0167767023059672,0.155238893649596,1.56516363679663
"116","matching","A1","drs",10000,2,0.1,0.1,NA,4,0.365800294479951,0.117783035112988,0.731749689983092,-0.555645175765007,0.791211245990983
