"","algo","approach","n","n.cova","event.prob","ttm.prob","seed","clog_coef","clog_pval","clog_lower","clog_upper"
"19","A2","no_match",20000,1,1,0.1,1,-0.514090415491631,0.195706211556618,-1.29283126190727,0.264650430924006
"20","A2","no_match",20000,1,1,0.1,2,-0.198090411290267,0.546617034954425,-0.842128484418098,0.445947661837564
"21","A2","no_match",20000,1,1,0.1,3,0.13159448336224,0.736157164761165,-0.633869413188954,0.897058379913434
"22","A2","no_match",10000,1,10,0.1,1,-0.194288421792549,0.580136412458787,-0.882662081324962,0.494085237739863
"23","A2","no_match",10000,1,10,0.1,2,0.553023738715119,0.193981501480134,-0.281462762544465,1.3875102399747
"24","A2","no_match",10000,1,10,0.1,3,-0.572985789799249,0.145657637373047,-1.34480647940424,0.198834899805742
"25","A1","exact",20000,1,1,0.1,1,-0.441832752275935,0.301070803419657,-1.27922075888834,0.395555254336469
"26","A1","exact",20000,1,1,0.1,2,0.0689928714740538,0.852712563991488,-0.659352630658397,0.797338373606505
"27","A1","exact",20000,1,1,0.1,3,0.200670695462151,0.655262030315415,-0.680267603744391,1.08160899466869
"28","A1","exact",10000,1,10,0.1,1,-0.0571584138364919,0.865790472159146,-0.720017784178793,0.605700956505809
"29","A1","exact",10000,1,10,0.1,2,-0.0800427076370706,0.841522329381646,-0.864656243558651,0.70457082828451
"30","A1","exact",10000,1,10,0.1,3,0.22314355131421,0.638049326627154,-0.706548997142632,1.15283609977105
"31","A2","exact",20000,1,1,0.1,1,0.510825623739935,0.322560618687519,-0.501295425762097,1.52294667324197
"32","A2","exact",20000,1,1,0.1,2,0.241162056816888,0.549474018091027,-0.548529936885642,1.03085405051942
"33","A2","exact",20000,1,1,0.1,3,0,1,-0.768761123316062,0.768761123316062
"34","A2","exact",10000,1,10,0.1,1,0.064538521129486,0.857486911736323,-0.639867917658658,0.76894495991763
"35","A2","exact",10000,1,10,0.1,2,0.200670695462151,0.655262030315415,-0.680267603744391,1.08160899466869
"36","A2","exact",10000,1,10,0.1,3,0,1,-0.835731451070272,0.835731451070272
"37","A1","exact",20000,1,1,0.1,4,-0.133531392624523,0.715203053361471,-0.850804765932949,0.583741980683903
"38","A1","exact",20000,1,1,0.1,5,-0.200670695462151,0.655262030315414,-1.08160899466869,0.68026760374439
"39","A1","exact",20000,1,1,0.1,6,0.22314355131421,0.638049326627154,-0.706548997142632,1.15283609977105
"40","A1","exact",10000,1,10,0.1,4,0.182321556793955,0.670245265976437,-0.65688488411352,1.02152799770143
"41","A1","exact",10000,1,10,0.1,5,0.336472236621157,0.416414364181268,-0.47502994934834,1.14797442259065
"42","A1","exact",10000,1,10,0.1,6,0.485507815769315,0.279943419654729,-0.39521869396317,1.3662343255018
"43","A2","exact",20000,1,1,0.1,4,0.22314355131421,0.564510978132912,-0.535947235814786,0.982234338443206
"44","A2","exact",20000,1,1,0.1,5,-0.441832752275935,0.301070803419657,-1.27922075888834,0.395555254336469
"45","A2","exact",20000,1,1,0.1,6,-0.31845373111851,0.493124620479832,-1.22917096590699,0.592263503669969
"46","A2","exact",10000,1,10,0.1,4,0,1,-0.876522540576581,0.876522540576581
"47","A2","exact",10000,1,10,0.1,5,-0.325422400434594,0.371281131359037,-1.03880253142265,0.387957730553461
"48","A2","exact",10000,1,10,0.1,6,0.167054084663166,0.683439627231701,-0.635890721357208,0.969998890683541
"49","A1","no_match",20000,1,1,0.1,1,0.107794535893102,0.834618144649408,-0.904136792004438,1.11972586379064
"50","A1","no_match",20000,1,1,0.1,2,-0.189632433805561,0.583862576851548,-0.86817511644902,0.488910248837898
"51","A1","no_match",20000,1,1,0.1,3,-0.174345043930892,0.641445314079797,-0.90813384619026,0.559443758328475
"52","A1","no_match",10000,1,10,0.1,1,0.5751245706798,0.171574981425939,-0.249375104026894,1.39962424538649
"53","A1","no_match",10000,1,10,0.1,2,0.179728490062472,0.679597358936936,-0.67317851654909,1.03263549667403
"54","A1","no_match",10000,1,10,0.1,3,-0.00401368899509386,0.992200473968681,-0.808755825294033,0.800728447303845
"55","A2","no_match",20000,1,1,0.1,1,-0.514090415491631,0.195706211556618,-1.29283126190727,0.264650430924006
"56","A2","no_match",20000,1,1,0.1,2,-0.198090411290267,0.546617034954425,-0.842128484418098,0.445947661837564
"57","A2","no_match",20000,1,1,0.1,3,0.13159448336224,0.736157164761165,-0.633869413188954,0.897058379913434
"58","A2","no_match",10000,1,10,0.1,1,-0.194288421792549,0.580136412458787,-0.882662081324962,0.494085237739863
"59","A2","no_match",10000,1,10,0.1,2,0.553023738715119,0.193981501480134,-0.281462762544465,1.3875102399747
"60","A2","no_match",10000,1,10,0.1,3,-0.572985789799249,0.145657637373047,-1.34480647940424,0.198834899805742
"61","A1","no_match",20000,1,1,0.1,4,0.012999856172125,0.971568589291011,-0.701885420118388,0.727885132462638
"62","A1","no_match",20000,1,1,0.1,5,-0.534631204118942,0.202074298603239,-1.35605271963984,0.286790311401954
"63","A1","no_match",20000,1,1,0.1,6,-0.628373299807756,0.149932280661651,-1.48377967002762,0.227033070412111
"64","A1","no_match",10000,1,10,0.1,4,-6.86081996548304e-17,1,-0.796954768588603,0.796954768588603
