"","strategy","algo","approach","n","n.cova","event.prob","ttm.prob","seed","mh_pval","clog_coef","clog_pval"
"63","counter-matching","A2","mhl",10000,10,5,0.1,1,0.832038093424132,-0.374693449441138,0.338746749373202
"64","counter-matching","A2","mhl",10000,10,5,0.5,1,0.817866584009474,-0.149940147290915,0.364716033316749
"65","counter-matching","A2","mhl",10000,10,10,0.1,1,0.642499672655955,-0.133531392624523,0.715203053361471
"66","counter-matching","A2","mhl",10000,10,10,0.5,1,0.895144955405407,-0.21056476910735,0.210552118193405
"67","counter-matching","A2","mhl",20000,20,1,0.1,1,0.887373546819673,-0.606135803256891,0.232356322905082
"68","counter-matching","A2","mhl",20000,20,1,0.5,1,0.785937955266917,-0.139761942375159,0.428499900541616
"69","counter-matching","A2","mhl",10000,20,5,0.1,1,0.413629673281356,0.0953101796806681,0.827323681628342
"70","counter-matching","A2","mhl",10000,20,5,0.5,1,0.828111622350821,-0.1633250561033,0.344312934904664
"71","counter-matching","A2","mhl",10000,20,10,0.1,1,0.58258633540738,-0.0870113769242422,0.834878672501697
"72","counter-matching","A2","mhl",10000,20,10,0.5,1,0.72656736552208,-0.103796793681644,0.547045201764063
"73","matching","A1","mhl",20000,4,1,0.1,2,0.224845898984445,0.287682072451776,0.451252537343089
"74","matching","A1","mhl",20000,4,1,0.5,2,0.5,0,1
"75","matching","A1","mhl",10000,4,5,0.1,2,0.832038093424132,-0.374693449441138,0.338746749373202
"76","matching","A1","mhl",10000,4,5,0.5,2,0.538871070173969,-0.0190481949706929,0.92225903122463
"77","matching","A1","mhl",10000,4,10,0.1,2,0.5,0,1
"78","matching","A1","mhl",10000,4,10,0.5,2,0.459563039767389,0.020619287202733,0.919127507265401
"79","matching","A1","mhl",20000,10,1,0.1,2,0.176580176657994,0.348306694268123,0.355590512469625
"80","matching","A1","mhl",20000,10,1,0.5,2,0.302063153664584,0.107630663903014,0.604300825371074
"81","matching","A1","mhl",10000,10,5,0.1,2,0.889664319040077,-0.510825623739934,0.22569259553875
"82","matching","A1","mhl",10000,10,5,0.5,2,0.623423817617043,-0.0659579677823826,0.753195649717883
"83","matching","A1","mhl",10000,10,10,0.1,2,0.927800103893464,-0.628608658892204,0.151046918587769
"84","matching","A1","mhl",10000,10,10,0.5,2,0.927800103893464,-0.306730267422461,0.145975498263272
"85","matching","A1","mhl",20000,20,1,0.1,2,0.5,0,1
"86","matching","A1","mhl",20000,20,1,0.5,2,0.942074251237035,-0.332705753825689,0.117536436021751
"87","matching","A1","mhl",10000,20,5,0.1,2,0.0898562474394999,0.619039207981312,0.186682897588507
"88","matching","A1","mhl",10000,20,5,0.5,2,0.334907678799708,0.0909717781164563,0.669922457618794
"89","matching","A1","mhl",10000,20,10,0.1,2,0.265807288440806,0.262364264467489,0.532790006545515
"90","matching","A1","mhl",10000,20,10,0.5,2,0.327360423009289,0.100083458382946,0.65485556600675
"91","matching","A2","mhl",20000,4,1,0.1,2,0.224845898984445,0.287682072451776,0.451252537343089
